is_bad,emp_length,home_ownership,annual_inc,verification_status,debt_to_income,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,mths_since_last_major_derog,policy_code,state_income,balance_open_acc,income_balance,open_total,years_of_cr_line,purpose_cat_clean,Notes_na,Note_na,Note_length
0,10,MORTGAGE,50000,not verified,10.87,0,0,15,0,9.399968504,12.1,44,1,PC4,11.11845964,6.691835573,4.136675767,0.340909091,15.92876712,individual major expenses,1,NA,0
0,1,RENT,39216,not verified,9.15,0,2,4,0,9.22177475,64,5,2,PC1,11.23821227,7.835381521,3.877397667,0.8,3.002739726,debt consolidation,0," I will be using this loan to pay off expenses accrued in the last six months on my credit cards, due to a combination of job transition, relocation for the job, and medical expenses from a broken tibula.  I generally overpay my monthly minimum on my debts, so I expect that this loan will be repaid sooner than 5 years.  I have a steady job working in the information technology field, I've been employed full-time in this field for over eight years, and have been with my present employer for seven months in good standing.  My monthly budget breakdown is 1/3 of my paycheck going to rent and bills, 1/3 going to living and job transit expenses, and 1/3 remaining for general spending and payments.<br/>",733
0,4,RENT,65000,not verified,11.24,0,0,4,0,4.406719247,0.6,8,3,PC4,11.30927812,3.008154794,165.6670213,0.5,29.19753425,individual major expenses,1,NA,0
0,10,MORTGAGE,57500,not verified,6.18,1,0,6,0,9.213435577,37.1,23,2,PC2,11.19711823,7.421576412,5.732801595,0.260869565,26.18630137,debt consolidation,1,NA,0
0,4,RENT,47028,VERIFIED - income,7.83,2,1,6,0,7.44775128,26.4,25,3,PC3,11.4146509,5.65540889,27.42157434,0.24,8.926027397,individual major expenses,1,NA,0
0,6,MORTGAGE,42000,VERIFIED - income source,10.29,0,0,9,0,9.245224774,95.9,10,3,PC3,11.0719368,7.04790362,4.056403322,0.9,2.589041096,debt consolidation,0, Loan is for debt consolidation and will be paid timely.  Employed in the healthcare industry for 6 years since moving to NV 7 years ago and have always had stable job positions.  Thank you very much for your assistance.<br>,252
0,2,MORTGAGE,50000,VERIFIED - income,15.36,0,2,11,0,9.886493976,59.2,27,1,PC5,11.28040055,7.488547845,2.542976299,0.407407407,7.753424658,debt consolidation,1,NA,0
0,3,RENT,74000,VERIFIED - income source,17.11,0,0,10,0,9.618933915,39.9,18,1,PC4,11.30927812,7.316282361,4.918250698,0.555555556,17.93150685,individual major expenses,1,NA,0
0,5,RENT,112000,not verified,14.96,0,0,12,0,10.13757104,39.5,24,1,PC3,11.4146509,7.652624829,4.431431511,0.5,15.43013699,debt consolidation,0,"569486 added on 11/07/09 > - Two high earners in their early thirties, w/ increased earning potential in the future.<br/><br/>- Applied for a 36 month month loan, with a goal to pay it off in under 30 months.<br/><br/>- Will use loan to consolidate debt.<br/><br/>- Employment, very stable.  Manager, Top 5 Consulting Firm and Director of Sales at software firm.<br/><br/>- Plan to use this service to help other borrowers in the future after we have paid off our loan.<br/><br/>- Thank you in advance for your consideration in funding a note in our loan.<br/> 569486 added on 11/09/09 > Thanks to all the investors so far!<br/> 569486 added on 11/10/09 > - Forgot to add monthly budget for us - it is $ 5,500.  Including rent, car (1), food, bills and student loans.<br/><br/>- We have 3 to 4 months of emergency savings in case one of us loses a job and it would not effect our ability to pay off our loan through lending club.<br/> 569486 added on 11/10/09 > - We have been asked how soon we plan to pay off the lending club loan, we believe with lowering our current CC rates by a lot, it is feasible for us to pay off the loan at or just above 24 months.  <br/><br/>- Our bank account has now been verified by Lending Club.<br/> 569486 added on 11/11/09 > Verifying employment, job, pay and budget with lending club tomorrow. Thanks again to all the investors so far!<br/> 569486 added on 11/17/09 > Almost there! Thanks again to all the investors.<br/>",1458
0,1,RENT,148080,VERIFIED - income,15.88,0,2,12,0,10.50635438,73.4,27,1,PC3,11.38108407,8.02142037,4.051879823,0.444444444,12.59452055,debt consolidation,0, I wish to consolidate my credit card payments and reduce my debt profile while accelerating my payoff.<br/>,136
0,10,RENT,44724,not verified,17.41,0,3,3,0,6.787844982,25.3,5,2,PC1,11.13731523,5.688104662,50.4785553,0.6,12.09315068,other,0,Need help making ends meet for the wedding.,43
0,1,RENT,100000,not verified,18.66,0,0,13,0,10.0641172,70.1,37,3,PC3,11.30927812,7.49912526,4.258218361,0.351351351,9.093150685,individual major expenses,0," I a Database Developer at Bridgpoint and would like to use this loan to pay a lump sum in taxes, as well as pay off a credit card that is 29% rate.  This is a citi bank card and I called them to try and reduce the interest rate, but they said the only way I could do that is if I did not pay a ontime and then they would consider.  I want to keep my credit score in the 700 range was not willing to default on my card.<br/>",452
0,10,MORTGAGE,75000,VERIFIED - income,13.42,0,0,5,0,9.83048666,37.9,19,3,PC3,11.28040055,8.220994959,4.034210102,0.263157895,15.84383562,debt consolidation,0, I HAVE NEVER MISSED A PAYMENT ON ANY ACCOUNT AND I HAVE BEEN EMPLOYED BY THE SAME COMPANY FOR 17 YEARS.<br/>,137
1,10,OWN,22000,VERIFIED - income source,14.95,0,0,4,0,9.049232212,78.8,9,3,PC2,10.99765665,7.662820362,2.584890142,0.444444444,15.17808219,small business sub_cat,0, Loan proceeds will assist in the necessary expansion of a 30 year established (Debt Free) Auto Repair Faclilty...<br/>,147
0,1,RENT,30000,VERIFIED - income source,19.32,0,0,9,0,8.571113033,62.1,19,3,PC4,11.39142428,6.373698937,5.686125853,0.473684211,5.838356164,debt consolidation,0, I'm applying for this loan to get rid of my credit card debt and to also make my money not so tight every month.<br/>,146
0,3,RENT,63000,VERIFIED - income,19.09,0,1,12,0,9.690789259,70.3,27,2,PC2,11.30927812,7.205820757,3.89682687,0.444444444,9.008219178,debt consolidation,0, These funds will be used to pay off credit card debt and lower total monthly payments/interest rates.  I have a stable job and steady income.<br>,174
1,2,MORTGAGE,72000,not verified,17.48,0,4,13,0,7.13089883,6.1,23,3,PC3,11.00369856,4.565149153,57.64611689,0.565217391,11.00821918,small business,0,"I am looking for $10,000 to fund cash flow on a home building project that will yeild a very nice return within a few months.  Would like to setup a 1 year note with no pre-pay penalties.  Looking to close a deal by Monday or Tuesday. 549803 added on 10/12/09 > I am still interested in getting this loan.  Looking to close as soon as it gets funded.",350
0,1,RENT,180000,VERIFIED - income,12.22,0,0,8,0,10.23041438,80.4,24,3,PC4,11.29312631,8.150936777,12.62034399,0.333333333,14.17808219,individual major expenses,1,NA,0
0,10,RENT,56000,VERIFIED - income,15.43,0,0,6,0,8.511577453,43.5,19,1,PC2,11.30927812,6.719616837,11.26533897,0.315789474,13.43013699,debt consolidation,0, Would like consolidate my debt to make easier payment options.  I have had a stable job for the last 11 1/2 years.  I'm looking for an opportunity to establelize myself financially.<br/>,215
0,10,RENT,47480,not verified,16.81,0,3,10,0,5.017279837,3.1,24,3,PC1,11.39460353,2.708050201,165.6670213,0.416666667,9.84109589,individual major expenses,0," This loan wil be used to payoff a fairly high interest personal loan that I used to payoff very high interest rate credit cards. All of my credit card accounts are paid in full. I have an excellent payment history on all revolving and installment accounts, always paying on time or early.<br/>My monthly living expenses amount to 18%-22% of my monthly net income. <br/>My job is very stable, having been employed in the IT department of a state university for 22 years.<br/>",503
0,8,MORTGAGE,33600,VERIFIED - income,3.93,0,1,5,0,9.04581944,73.8,20,2,PC1,11.29312631,7.436263638,3.961329875,0.25,8.756164384,individual major expenses,1,NA,0
0,2,MORTGAGE,42000,not verified,15.89,0,1,10,0,9.937502431,51.6,20,2,PC5,11.19711823,7.634869009,2.029868059,0.5,8.509589041,individual major expenses,1,NA,0
0,5,MORTGAGE,40000,not verified,10.71,0,0,11,0,7.807916629,44.7,26,2,PC2,11.36866241,5.409614769,16.26677511,0.423076923,3.339726027,debt consolidation,0, This debt consolidation loan will be used to pay down a high interest revolving credit card to increase my credit score by changing to a fixed installment loan. The remainder will go to pay off a small unsecured loan that is also a high rate.<br/> Borrower added on 06/08/11 > I have been with my employer for over five years in a stable industry. My credit history defines my repayment history and shows I am neither overextended nor ever late on payments. Thank you!<br/>,502
0,3,MORTGAGE,55000,not verified,24.8905,0,4,16,0,10.63840028,95.2,24,3,PC2,11.28040055,7.865787582,1.318786716,0.666666667,14.59726027,individual major expenses,0,"I am requesting a loan to consolidate some of my higher intrest rate credit cards.  I use these cards for business only, but I had got a few that I am carring a balance on that I would like to consolidate.    My personal business generates around $250,000 a year as a ebay drop off location and computer sales and service.  thanks for your consideration",353
0,4,RENT,120000,not verified,0,0,0,2,0,0,0,7,3,PC2,11.30927812,0,0,0.285714286,13.34794521,individual major expenses,0,Saw this wonderful motorcycle and would be nice to able to purchase it.,71
0,1,MORTGAGE,100000,VERIFIED - income,19.99,0,1,6,0,10.11370796,79,22,2,PC5,11.4146509,8.321907968,4.052192236,0.272727273,7.090410959,debt consolidation,0," I am hoping to use this loan to consolidate two credit cards into one smaller payment. I have a full time, stable job and have never missed a payment on any monthly bills. Thank you.<br/>",216
0,1,RENT,8000,VERIFIED - income source,15.15,0,0,6,0,7.671826798,20.2,16,1,PC1,11.02674367,5.879601454,3.727865797,0.375,5.257534247,other,0,I need a loan to finance a new vehicle. I have always done well with paying my bills on time and money management. Thank you for your condieration of this loan.,160
